world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students_percent,female_male_ratio,year
107,National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,"10,221.00",13.5,0.05,33 : 67,2011
107,University of Cape Town,South Africa,36.6,83.3,42.1,82.8,,56.1,"20,040.00",12.1,0.18,53 : 47,2011
109,Pennsylvania State University,United States of America,46.3,19.9,49.2,77.6,44,56,"44,501.00",12.4,0.12,46 : 54,2011
109,Seoul National University,South Korea,62.3,44.9,54.1,54.6,43,56,"26,389.00",13.9,0.10,,2011
111,Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6,"10,441.00",11,0.25,61 : 39,2011
112,Bilkent University,Turkey,34.3,47.7,36.1,95.7,32.4,55.4,,,,,2011
112,Tokyo Institute of Technology,Japan,62.9,24.8,63.4,45.5,60.5,55.4,"9,586.00",7.3,0.13,13 : 87,2011
114,Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3,"8,176.00",16,0.14,19 : 81,2011
115,National Taiwan University,Taiwan,50.3,29.2,59,61.6,35.7,55.2,"31,891.00",11.9,0.07,39 : 61,2011
115,University of Hawai’i at Mānoa,United States of America,38.3,34.2,47.6,81,,55.2,,,,,2011
117,"University of California, Riverside",United States of America,38.6,63,47.4,78.3,30.5,55.1,"20,626.00",22,0.12,51 : 49,2011
118,University of Geneva,Switzerland,46.6,95.7,49.7,63.1,32.7,55,"15,668.00",15,0.39,61 : 39,2011
119,KU Leuven,Belgium,57.7,29.6,62.9,45.2,97.7,54.8,"42,503.00",41.9,0.18,54 : 46,2011
120,Nanjing University,China,52.2,50.2,46.2,66,43.4,54.6,"29,743.00",13.3,0.10,46 : 54,2011
120,Queen Mary University of London,United Kingdom,39.7,91,44.1,73.5,38.9,54.6,"14,260.00",14,0.40,52 : 48,2011
122,Michigan State University,United States of America,50.4,30.4,52.7,63.7,,54.5,"44,750.00",15.7,0.15,51 : 49,2011
122,Technical University of Denmark,Denmark,46.2,64,46.9,64.6,95.5,54.5,"9,990.00",5,0.18,27 : 73,2011
124,Ghent University,Belgium,52.8,24.7,59.1,52.8,97.1,54.4,"32,166.00",34.1,0.09,57 : 43,2011
124,Lancaster University,United Kingdom,43.5,73.8,41.9,74.9,28.8,54.4,"11,512.00",14.9,0.33,52 : 48,2011
124,Leiden University,Netherlands,47.3,40,54.9,59.3,100,54.4,"21,222.00",17.1,0.10,59 : 41,2011
127,University of Alberta,Canada,53.7,71.6,58,49.7,44.5,54.3,"36,299.00",21.6,0.23,55 : 45,2011
128,University of Glasgow,United Kingdom,45.6,55.1,50.3,65.1,61,54.2,"22,616.00",16,0.29,57 : 43,2011
129,Stockholm University,Sweden,36.9,,49.2,75.9,31.7,54,"31,715.00",23.7,0.08,62 : 38,2011
130,Osaka University,Japan,61.7,20.1,63.4,40,73.4,53.4,"23,144.00",7.8,0.09,31 : 69,2011
130,University of Victoria,Canada,32.9,,48.3,79.1,27.4,53.4,"17,581.00",21.5,0.11,56 : 44,2011
132,Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3,"17,200.00",5,0.07,25 : 75,2011
132,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3,"26,467.00",31.2,0.16,52 : 48,2011
132,University of Iowa,United States of America,48.6,31.7,59.8,54.8,,53.3,"27,526.00",11.6,0.11,52 : 48,2011
135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7,"11,623.00",11.1,0.12,60 : 40,2011
136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6,"11,964.00",13.1,0.22,,2011
137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,"23,311.00",15.5,0.31,50 : 50,2011
138,University of Montreal,Canada,56.1,,49.4,51.9,,52.4,"38,264.00",20.3,0.25,57 : 43,2011
139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3,"23,280.00",16.3,0.06,56 : 44,2011
140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2,"27,862.00",8.7,0.18,48 : 52,2011
140,University of Dundee,United Kingdom,34.1,54.4,41,79.3,49.3,52.2,"11,628.00",15.3,0.25,60 : 40,2011
142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30,52.1,"47,491.00",12.2,0.10,62 : 38,2011
143,Utrecht University,Netherlands,43.4,52.6,53,58.8,55.3,52,"30,779.00",15.4,0.07,59 : 41,2011
144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53,,51.9,"9,248.00",17,0.21,56 : 44,2011
145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8,"29,787.00",18.9,0.28,54 : 46,2011
145,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,"25,295.00",16.4,0.23,54 : 46,2011
147,Alexandria University,Egypt,29.5,19.3,28,99.8,36,51.6,"127,431.00",23.3,0.01,46 : 54,2011
147,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6,"25,266.00",18.2,0.12,57 : 43,2011
149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,"22,064.00",25.9,0.26,51 : 49,2011
149,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47,51.4,"12,938.00",15.8,0.33,54 : 46,2011
151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29,99.4,51.3,"15,920.00",19.4,0.25,26 : 74,2011
152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2,"9,454.00",17.2,0.38,55 : 45,2011
152,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,"20,174.00",15.2,0.29,50 : 50,2011
152,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60,51.2,"38,309.00",25.9,0.33,47 : 53,2011
155,Pompeu Fabra University,Spain,35,44.1,33,84.7,40,51.1,"10,901.00",18.3,0.13,59 : 41,2011
156,Indiana University,United States of America,48.5,37.7,42.5,63.2,,51,"62,468.00",13.6,0.13,53 : 47,2011
156,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51,"29,991.00",17.4,0.11,44 : 56,2011
158,Georgia Health Sciences University,United States of America,67.3,16.3,41.7,48.9,50.1,50.7,,,,,2011
159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,,50.4,"20,580.00",18.9,0.18,48 : 52,2011
159,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100,50.4,"19,262.00",15.9,0.10,56 : 44,2011
161,Arizona State University,United States of America,43,24.1,44.1,66.9,,50.3,"83,236.00",29.9,0.09,50 : 50,2011
161,Boston College,United States of America,40.1,31.6,33.6,78,,50.3,"13,216.00",17.4,0.19,54 : 46,2011
163,National Sun YatSen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,"9,336.00",19.6,0.04,37 : 63,2011
164,Georgetown University,United States of America,65.1,24.7,44.7,45,,50.1,"15,408.00",8.5,0.14,53 : 47,2011
165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50,"24,570.00",14.4,0.11,53 : 47,2011
165,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50,"18,815.00",13.6,0.30,52 : 48,2011
167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,"23,895.00",13.6,0.14,54 : 46,2011
168,University of Leeds,United Kingdom,46.2,50,48,55.6,38.3,49.8,"27,703.00",14.7,0.21,58 : 42,2011
168,University of Würzburg,Germany,48.7,40.3,40.9,60.4,,49.8,"26,576.00",38.4,0.08,57 : 43,2011
170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7,"24,556.00",25.6,0.12,52 : 48,2011
171,Sun Yatsen University,China,46.2,29.3,34.7,70.2,41.2,49.6,"51,351.00",16.6,0.08,51 : 49,2011
172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4,"31,861.00",9.3,0.15,60 : 40,2011
173,Bielefeld University,Germany,39.9,,35.7,70.4,,49.3,"21,428.00",67.8,0.08,57 : 43,2011
174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45,40,49,"25,028.00",16.2,0.33,48 : 52,2011
174,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49,"14,992.00",14.7,0.28,58 : 42,2011
174,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49,"30,144.00",15,0.27,54 : 46,2011
177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8,"27,545.00",4.1,0.19,67 : 33,2011
178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52,27.8,48.5,"29,987.00",52.5,0.16,,2011
178,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5,"50,882.00",40.5,0.36,56 : 44,2011
178,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5,"32,474.00",70.4,0.13,55 : 45,2011
181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,"12,646.00",16.6,0.05,27 : 73,2011
182,RWTH Aachen University,Germany,50,63.8,42.5,48.9,56.6,48.2,"37,917.00",27.6,0.16,31 : 69,2011
183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,"25,779.00",22.2,0.07,44 : 56,2011
184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,"17,755.00",18.8,0.28,54 : 46,2011
185,University of Twente,Netherlands,49.9,62.4,48.3,42,49.8,47.5,"6,631.00",12,0.26,37 : 63,2011
186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,,47.3,"10,930.00",59.1,0.12,54 : 46,2011
187,Karlsruhe Institute of Technology,Germany,45,47.3,35.4,60.7,40,47.2,"25,294.00",24.6,0.16,26 : 74,2011
187,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35,47.2,"18,209.00",16.9,0.39,54 : 46,2011
189,University of Tübingen,Germany,45.9,57.8,36.3,57.3,32.3,47,"28,327.00",38.9,0.12,58 : 42,2011
190,Drexel University,United States of America,45,60.6,35.9,58.2,27.4,46.9,"20,713.00",10.8,0.18,48 : 52,2011
190,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9,"36,108.00",15.7,0.06,54 : 46,2011
190,Yonsei University,South Korea,43,28,48.7,52.2,40.4,46.9,"24,774.00",11.6,0.14,,2011
193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,,46.8,"15,064.00",14.4,0.18,55 : 45,2011
193,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100,46.8,"12,062.00",14.6,0.21,30 : 70,2011
195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27,46.7,"34,651.00",20.5,0.25,67 : 33,2011
196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5,"23,122.00",19,0.08,58 : 42,2011
197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,,46.4,"24,313.00",9.2,0.17,53 : 47,2011
197,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4,"47,508.00",15.9,0.05,41 : 59,2011
199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2,"26,640.00",28.3,0.19,55 : 45,2011
199,Swedish University of Agricultural Sciences,Sweden,43.3,,49.5,41.7,99.9,46.2,"3,879.00",4.6,,67 : 33,2011
